BANK,IFSC,MICR,BRANCH,ADDRESS,CONTACT,CITY,DISTRICT,STATE,ABBREVIATION
HDFC Bank,HDFC0CYMSB1,445814002,The Yavatmal Mahila Sah Bank Ltd,"Annapurna, Mainde Chowk, Sankat Mochan Road Yavatmal",250661.0,Yavatmal,Yavatmal,Maharashtra,HDFC
HDFC Bank,HDFC0CYACBP,415814352,The Yashwant Co-Op Bank Ltd Phaltan,"69, Guruwar Peth, Chawdi Chowk, Karad - 415110",9422745818.0,Karad,Satara,Maharashtra,HDFC
HDFC Bank,HDFC0CWUCBW,444814352,Warud Urban Coop Bank Ltd,Approach Road Warud,7229233472.0,Warud,Amravati,Maharashtra,HDFC
HDFC Bank,HDFC0CWUCB3,440802004,Wardhman Urban CO OP Bank Ltd,Godown No Building No Apmc Kalamna Market Nagpur,268118.0,Nagpur,Nagpur,Maharashtra,HDFC
HDFC Bank,HDFC0CWUCB1,,Wardhman Urban CO OP Bank Ltd,73 Sewasadansquare Central Avenue Nagpur,2725535.0,Nagpur,Nagpur,Maharashtra,HDFC
HDFC Bank,HDFC0CWOMEN,403451002,The Womens Coop Bank Ltd Panaji Goa,"Akash Bhavan, Ruaheliodoro DE Salgado Road Opp Mathais Plaza Panaji Goa - 403001",228933.0,Panaji,North Goa,Goa,HDFC
HDFC Bank,HDFC0CVVCCB,388810001,V.V.C.C Bank Ltd,"Shree Vallabh Chambers, Opp B&B Polytechnic College, Mota Bazar, Vallabh Vidhyanagar - 388120",237574.0,Vallabh Vidyanagar,Anand,Gujarat,HDFC
HDFC Bank,HDFC0CVVCAN,388810002,The Vallabh Vidyanagar Comm Coop Bank Ltd,N9 Business Centre 100 Feet Road Near Indira Statue Lambhvel Road Anand - 388001,238347.0,Anand,Anand,Gujarat,HDFC
HDFC Bank,HDFC0CVNB02,,Vaishya Nagari Sah Bank Ltd,"Sant Janabai Shopping Center, No 21 B, Aadalt Road, Gangakhed - 431514",9420079567.0,Parbhani,Parbhani,Maharashtra,HDFC
HDFC Bank,HDFC0CVMNSB,431880152,Vasundhara Mahila Ambajogai,Prashant Nagar Ambajogai,247928.0,Ambajogai,Ambajogai,Maharashtra,HDFC
HDFC Bank,HDFC0CVMCBA,362803051,The Veraval Mercantile Co-Op Bank,"Suvidha, Subhash Road, Veraval - 362265",6220209.0,Veraval,Junagadh,Gujarat,HDFC
HDFC Bank,HDFC0CVJSBL,400082420,Vasai Janata Sahkari Bank Ltd,"Mrudgandh Azad Road, Parnaka, Vasai (West) - 401201",9225104162.0,Thane,Thane,Maharashtra,HDFC
HDFC Bank,HDFC0CVIKAS,583805202,Vikas Souharda CO OP Bank Ltd,Station Road Hospet - 583201,226411.0,Hospet,Bellary,Karnataka,HDFC
HDFC Bank,HDFC0CVCB23,411109261,Shri Veershaiv Coop Bank Ltd. Kolh,"Agri.Produce Market Committee Gultekadi, Shri Ch.Shivaji Mkt.Gala.No 3, 1St Floor, Pune",24273688.0,Pune,Pune,Maharashtra,HDFC
HDFC Bank,HDFC0CVCB17,416407009,Shri Veershaiv Coop Bank Ltd. Kolh,"1-A/12&2 Anaji Complex, First Floor. Ward, Opp Kishor Co.Mahadwar Road, Kolhapur",2540608.0,Kolhapur,Kolhapur,Maharashtra,HDFC
HDFC Bank,HDFC0CVCB16,,Shri Veershaiv Coop Bank Ltd. Kolh,"724-A Khokale Bldg. Tanaji Chowk, Ganapati Peth Sangli - 416416",2324230.0,Sangli-Miraj-Kupwad,Sangli,Maharashtra,HDFC
HDFC Bank,HDFC0CVCB10,416407007,Shri Veershaiv Coop Bank Ltd. Kolh,"517A-1, Tararani Chowk, Kolhapur - 416001",2537329.0,Kolhapur,Kolhapur,Maharashtra,HDFC
HDFC Bank,HDFC0CVCABD,110208002,The Vaish CO OP Adarsh Bank Ltd,"3, Netaji Subhash Marg, Daryaganj, New Delhi. Pincode - 110000",9718991402.0,Delhi,Delhi,Delhi,HDFC
HDFC Bank,HDFC0CVB222,500222002,Vardhaman (Mahila)Coop Urban BK Ltd,"3-5-141/E/7, Ground Floor Geetanjali Complex, Eden Bagh, Ramkote, Hyderabad - 500001",23449461.0,Hyderabad,Hyderabad,Andhra Pradesh,HDFC
HDFC Bank,HDFC0CVB009,500222009,Vardhaman (Mahila)Coop Urban BK Ltd,"3-116, 1St Floor, Hanumannagar Colony Chaitanyapuri, Dilsukhnagar, Hyderabad - 500060",24050455.0,Hyderabad,Hyderabad,Andhra Pradesh,HDFC
HDFC Bank,HDFC0CVB008,500222008,Vardhaman (Mahila)Coop Urban BK Ltd,"Mahavir Hospital Premises, A.C.Gaurds, Hyderabad - 500004",23371865.0,Hyderabad,Hyderabad,Andhra Pradesh,HDFC
HDFC Bank,HDFC0CVB007,500222007,Vardhaman (Mahila)Coop Urban BK Ltd,"6-3-93, 1St Floor, Balanagar Road, Balanagar, Hyderabad - 500042",23776466.0,Hyderabad,Hyderabad,Andhra Pradesh,HDFC
HDFC Bank,HDFC0CVB006,500222006,Vardhaman (Mahila)Coop Urban BK Ltd,"PT No 7 7A, Mysari Chambers, Sarawathi Colony, Lothukunta Hyderabad - 500015",27864255.0,Hyderabad,Hyderabad,Andhra Pradesh,HDFC
HDFC Bank,HDFC0CVB005,500222005,Vardhaman (Mahila)Coop Urban BK Ltd,"7-1-81/1, 1St Floor Loya Arcade, Ameerpet, Hyderabad - 500016",23737513.0,Hyderabad,Hyderabad,Andhra Pradesh,HDFC
