Bank of Baroda,BARB0ZAMPAB,395012034,Zampa Bazar Branch,"Zampa Bazar Branch, Zampa Bazar Main Road, Surat - 395003",1800223344.0,Surat,Surat,Gujarat,
Bank of Baroda,BARB0ZAMABS,233012052,"Zamania, UP","Rly.Station Road, Zamania, Ghazipur, Uttar Pradesh - 232331",1800223344.0,Zamania,Zamania,Uttar Pradesh,
Bank of Baroda,BARB0VASNAB,390012057,"Vasna Road BR., Vadodara, Gujarat","Gf-11/Shivalaya-Ii Near Raneshwar Temple, Vasna Road, Vadodara, Gujarat - 390007",1800223344.0,Vadodara,Vadodara,Gujarat,
Bank of Baroda,BARB0VALLAB,388012002,Vallabh Vidy Branch,"Vallabh Vidy Branch, Nana Bazar, Opp Nalini College, Vallabh Vidyanagar - 388120",1800223344.0,Vallabh Vidyana,Vallabh Vidyana,Gujarat,
Bank of Baroda,BARB0TRABHI,,Transport Nagar,"Orient Arcade, Chittor Road, Transport Nagar, Bhilwara, Rajasthan - 311001",1800223344.0,Bhilwara,Bhilwara,Rajasthan,
Bank of Baroda,BARB0TATABA,641012003,Tatabad Branch,"Tatabad Branch, 10th Street, Tatabad, Coimbatore -12 - 641012",1800223344.0,Coimbatore,Coimbatore,Tamil Nadu,
Bank of Baroda,BARB0TARABA,416012005,"Tarabai Park, Kolhapur, Maharashtra","Sayantara Complex, Ward, Near Vivekanand College, Kolhapur, Maharashtra - 461003",1800223344.0,Taraba,Taraba,Maharashtra,
Bank of Baroda,BARB0STABUL,396012002,Stn RD Bulsa Branch,"Stn RD Bulsa Branch, Opp Town Hall, Bulsar, Bulsar - 396001",1800223344.0,Bulsar,Bulsar,Gujarat,
Bank of Baroda,BARB0STABRO,392012001,Station Road Branch,"Station Road Branch, Near Shalimar Talkies Station Road Bharuch, Bharuch - 392001",1800223344.0,Bharuch,Bharuch,Gujarat,
Bank of Baroda,BARB0SITABU,440012002,Sitabuldi Branch,"Sitabuldi Branch, P.B.No 204 Khullars Chamber Sitabuldi, Sitalbuldi - 440012",1800223344.0,Nagpur,Nagpur,Maharashtra,
Bank of Baroda,BARB0SIKABS,232012055,"Sikanderpur, UP","V.Post Office Sikanderpur, Tehsil Chakia, Chandauli, Uttar Pradesh - 232103",1800223344.0,Sikandarpur,Sikandarpur,Uttar Pradesh,
Bank of Baroda,BARB0SHAHAB,136012102,Shahbad Branch,"Shahbad Branch, Shahbhad Markanda Kurukshetra, Shahabad Markanda - 136135",1800223344.0,Shahbad,Shahbad,Haryana,
Bank of Baroda,BARB0SHABHI,311012200,"Shahpura, Bhilwara","Shahpura, Bhilwara - 311404",1800223344.0,Shahpura,Shahpura,Rajasthan,
Bank of Baroda,BARB0SHABEL,590012003,Shahapur Branch,"Shahapur Branch, 193, Raibagkar Buldg., Near Nath Pai Circle, Shahapur, Belg, Belgaum - 590003",1800223344.0,Belgaum,Belgaum,Karnataka,
Bank of Baroda,BARB0SHABAR,,"Shastri Road, Bardoli, Gj","Ward2, Shastri Road, Bardoli, Near Nilesh Shastri Hospital, Surat, Gujarat - 394601",1800223344.0,Bardoli,Surat,Gujarat,
Bank of Baroda,BARB0SEWABS,221012051,"Sewapuri, Varanasi UP","Sewapuri, Varanasi, UP - 221403",1800223344.0,Varanasi,Varanasi,Uttar Pradesh,
Bank of Baroda,BARB0SEOMAL,,Seoni Malwa,Ward No AB Road Near Central School Banapura Seoni Malwa Hoshangabad Madhya Pradesh - 461223,1800223344.0,Seoni Malwa,Hoshangabad,Madhya Pradesh,
Bank of Baroda,BARB0SARABS,276012052,"Saraimeer, UP","Saraimeer, Azamgarh, Uttar Pradesh - 324212",1800223344.0,Sarai Mir,Sarai Mir,Uttar Pradesh,
Bank of Baroda,BARB0SALABA,395012024,Salabatpura Branch,"Salabatpura Branch, Kohinoor Textile Market, Opp Ram Mandir, Salabatpura Pipa, Surat - 395003",1800223344.0,Surat,Surat,Gujarat,
Bank of Baroda,BARB0SAKABS,232012054,"Sakaldiha, UP","Alinagar Road, Sakaldiha, Chandauli, Uttar Pradesh - 232109",1800223344.0,Sakaldiha,Sakaldiha,Uttar Pradesh,
Bank of Baroda,BARB0SAIDAB,211012534,"Saidabad, Allahabad","Vill. Post Office Saidabad, Allahabad, UP - 221508",1800223344.0,Saidabad,Saidabad,Uttar Pradesh,
Bank of Baroda,BARB0SAHABA,244012051,"Sahabad, UP","Sahabad, Rampur, Uttar Pradesh - 244922",1800223344.0,Shahabad,Shahabad,Uttar Pradesh,
Bank of Baroda,BARB0SADABA,204012501,"Sadabad Branch, Mahamaya Nagar (Hathras), U.P","Jawahar Bazar, Sadabad, Mahamaya Nagar, UP - 281306",1800223344.0,Sadabad,Sadabad,Uttar Pradesh,
Bank of Baroda,BARB0SABOUR,812012505,Sabour Bihar,"Block Chowk, Sabour, Bhagalpur, Bihar - 813210",1800223344.0,Bhagalpur,Bhagalpur,Bihar,
Bank of Baroda,BARB0SABLAX,314012301,"Sabla, Dungarpur, Rajasthan","Sabla, Dungarpur, Rajasthan - 314022",1800223344.0,Sabla,Sabla,Rajasthan,
Bank of Baroda,BARB0SABITP,224012164,"Sabitpur, UP","Vill. P.O.Mudiyari, Sabitpur, Ambedkar Nagar, Uttar Pradesh - 224176",1800223344.0,Sabitpur,Sabitpur,Uttar Pradesh,
Bank of Baroda,BARB0SABHUB,751012003,Samantarapur Branch,"Samantarapur Branch, Lewis Road, Bhubaneswar - 751002",1800223344.0,Bhubaneswar,Bhubaneswar,Odisha,
Bank of Baroda,BARB0SABHAW,,"Sabhawala, Uttarakhand","Bank of Baroda Block Vikas Nagar Vpo Sabhawala Sabhawala, Dehradun - 248197",1800223344.0,Vikas Nagar,Vikas Nagar,Uttarakhand,
Bank of Baroda,BARB0SABARM,380012032,Sabarmati Branch,"Sabarmati Branch, Dharam Nagar Sabarmati Ahmedabad, Ahmedabad - 380005",1800223344.0,Ahmedabad,Ahmedabad,Gujarat,
Bank of Baroda,BARB0RUVABA,,Ruvabari,AT Labda Bhagat Faliya Vil Ruvabari TA Devgar Ariya Dahod DT Gujarat - 389380,1800223344.0,Devgad Baria,Dahod,Gujarat,
Bank of Baroda,BARB0ROHABS,221012024,"Rohania, Varanasi, U.P","G.T.Road, Rohania, Varanasi, Uttar Pradesh - 221108",1800223344.0,Rohania,Rohania,Uttar Pradesh,
